Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
dorado_barcode01	0.10381520892809704	48.0	2059.628730859071	499	10.0	0.0038529999999999997
dorado_barcode02	0.24240990869316192	49.0	10033.784317717138	9999	10.0	0.112981
dorado_barcode03	0.0	48.0	1875.788643533123	499	20.0	0.000634
dorado_barcode04	0.31847133757962354	50.0	2429.292595541401	999	20.0	0.001256
dorado_barcode05	0.13363515652559954	48.0	5246.424703610636	4999	30.0	0.5448069999999999
dorado_barcode06	0.0	48.0	2012.8104938271606	749	20.0	0.00081
dorado_barcode07	0.0	51.0	1965.3621553884711	499	20.0	0.000798
dorado_barcode08	0.0	48.0	2045.8181818181818	499	20.0	0.001023
dorado_barcode09	0.04893698004458713	45.0	5097.36308520472	4999	20.0	0.036781999999999995
dorado_barcode10	0.08181528604563937	49.0	5389.132100941168	4999	10.0	0.160014
dorado_barcode11	0.04914848512201786	51.0	5227.700181390721	4999	10.0	0.113567
dorado_barcode12	9.273840769903757	49.0	2017.3880139982502	999	30.0	0.001143
dorado_barcode13	0.0	50.0	1981.7128712871288	499	20.0	0.000808
dorado_barcode14	0.14871468026343848	47.0	1265.376354365838	499	0.0	0.004706999999999999
dorado_barcode15	0.02223422164342992	47.0	1980.7660959883112	999	10.0	0.031483
dorado_barcode16	0.0	49.0	1653.8054187192117	499	20.0	0.000609
dorado_barcode17	0.8814482528212153	41.0	10012.50245707081	9999	20.0	1.905114
dorado_barcode18	1.6975473703800645	40.0	10010.508710783979	9999	10.0	1.1004749999999999
dorado_barcode19	2.6035502958579855	49.0	1661.1603550295858	499	30.0	0.0008449999999999999
dorado_barcode20	8.35084958902614	56.0	10856.478199860194	9999	30.0	1.550724
dorado_barcode21	0.0	37.0	238.0	238	30.0	1e-06
dorado_barcode23	0.0	54.0	3032.0	3032	30.0	1e-06
dorado_barcode24	0.0	28.0	11538.0	11538	40.0	1e-06
dorado_unclassified	14.598832180383653	50.0	10504.234511652498	9999	50.0	0.450161
