Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
minknow_barcode01	0.0	47.0	2569.9327902240325	1499	20.0	0.000491
minknow_barcode02	0.15682360908151338	50.0	2637.3719570873577	999	0.0	0.056114
minknow_barcode03	0.0	47.0	3885.648936170213	1749	30.0	4.7e-05
minknow_barcode04	0.0	45.0	2705.3618421052633	1499	30.0	7.599999999999999e-05
minknow_barcode05	0.09290415392055706	48.0	2699.997523448737	999	10.0	0.296178
minknow_barcode06	0.0	47.0	3172.584745762712	1249	30.0	5.9e-05
minknow_barcode07	0.0	49.0	3792.860465116279	1499	30.0	4.2999999999999995e-05
minknow_barcode08	0.0	48.0	3206.404109589041	1249	30.0	7.3e-05
minknow_barcode09	0.02924546695261654	45.0	1408.982793916943	499	10.0	0.020516
minknow_barcode10	0.011948287810355396	48.0	2863.2333978540873	999	10.0	0.041846999999999995
minknow_barcode11	0.008383072899192712	50.0	2357.440446650124	1499	0.0	0.059643999999999996
minknow_barcode12	42.400000000000006	51.0	2627.092	999	30.0	0.000125
minknow_barcode13	0.0	47.0	3363.4565217391305	1499	30.0	4.6e-05
minknow_barcode14	0.13239187996470037	47.0	1224.5597969991175	499	10.0	0.002266
minknow_barcode15	0.0	46.0	1825.800149607281	499	20.0	0.016042
minknow_barcode16	0.0	51.0	3060.616666666667	1499	30.0	2.9999999999999997e-05
minknow_barcode17	0.7947569160616155	41.0	1476.0427275306438	999	0.0	1.2054639999999999
minknow_barcode18	1.6052148993286721	40.0	1398.5466673282392	999	0.0	0.755775
minknow_barcode19	15.686274509803923	49.0	1297.9705882352941	249	30.0	0.000102
minknow_barcode20	5.30240583251971	56.0	6028.781089893724	2499	10.0	0.821915
minknow_unclassified	41.6197938909329	52.0	3703.9549219880782	2499	30.0	2.106537
